sep=,
Iteração,Tempo
0, 0.078000
1, 0.078000
2, 0.079000
3, 0.078000
4, 0.078000
5, 0.078000
6, 0.062000
7, 0.125000
8, 0.116000
9, 0.125000
10, 0.078000
11, 0.079000
12, 0.078000
13, 0.078000
14, 0.078000
15, 0.062000
16, 0.079000
17, 0.078000
18, 0.093000
19, 0.094000
20, 0.125000
21, 0.078000
22, 0.078000
23, 0.079000
24, 0.081000
25, 0.083000
26, 0.073000
27, 0.102000
28, 0.085000
29, 0.081000
30, 0.110000
